"No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College","Team"
39,"Jerami Grant","PF","6-8",210,"March 12, 1994","us","2","Syracuse University","PHI"
30,"Justin Harper","PF","6-10",225,"August 30, 1989","us","2","University of Richmond","PHI"
12,"Gerald Henderson","SG","6-5",215,"December 9, 1987","us","7","Duke University","PHI"
22,"Richaun Holmes","C","6-10",245,"October 15, 1993","us","1","Bowling Green State University","PHI"
7,"Ersan Ilyasova","PF","6-10",235,"May 15, 1987","tr","8","","PHI"
36,"Shawn Long","C","6-9",255,"January 29, 1993","us","R","University of Louisiana at Lafayette","PHI"
20,"Timothe Luwawu-Cabarrot","SF","6-6",205,"May 9, 1995","fr","R","","PHI"
1,"T.J. McConnell","PG","6-2",200,"March 25, 1992","us","1","University of Arizona","PHI"
4,"Nerlens Noel","C","6-11",228,"April 10, 1994","us","2","University of Kentucky","PHI"
8,"Jahlil Okafor","C","6-11",275,"December 15, 1995","us","1","Duke University","PHI"
5,"Alex Poythress","PF","6-7",238,"September 6, 1993","us","R","University of Kentucky","PHI"
5,"Chasson Randle","PG","6-2",185,"February 5, 1993","us","R","Stanford University","PHI"
14,"Sergio Rodriguez","PG","6-3",176,"June 12, 1986","es","4","","PHI"
9,"Dario Saric","PF","6-10",223,"April 8, 1994","hr","R","","PHI"
47,"Tiago Splitter","C","6-11",245,"January 1, 1985","br","6","","PHI"
11,"Nik Stauskas","SG","6-6",205,"October 7, 1993","ca","2","University of Michigan","PHI"
31,"Hollis Thompson","SG","6-8",206,"April 3, 1991","us","3","Georgetown University","PHI"
13,"Quincy Acy","PF","6-7",240,"October 6, 1990","us","4","Baylor University","BRK"
13,"Anthony Bennett","PF","6-8",245,"March 14, 1993","ca","3","University of Nevada, Las Vegas","BRK"
44,"Bojan Bogdanovic","SF","6-8",216,"April 18, 1989","ba","2","","BRK"
35,"Trevor Booker","PF","6-8",228,"November 25, 1987","us","6","Clemson University","BRK"
8,"Spencer Dinwiddie","PG","6-6",200,"April 6, 1993","us","2","University of Colorado","BRK"
10,"Yogi Ferrell","PG","6-0",180,"May 9, 1993","us","R","Indiana University","BRK"
2,"Randy Foye","SG","6-4",213,"September 24, 1983","us","10","Villanova University","BRK"
10,"Archie Goodwin","SG","6-5",200,"August 17, 1994","us","3","University of Kentucky","BRK"
41,"Justin Hamilton","C","7-0",260,"April 1, 1990","us","2","Louisiana State University","BRK"
12,"Joe Harris","SG","6-6",219,"September 7, 1991","us","2","University of Virginia","BRK"
24,"Rondae Hollis-Jefferson","SF","6-7",220,"January 3, 1995","us","1","University of Arizona","BRK"
6,"Sean Kilpatrick","SG","6-4",210,"January 6, 1990","us","2","University of Cincinnati","BRK"
22,"Caris LeVert","SF","6-7",203,"August 25, 1994","us","R","University of Michigan","BRK"
7,"Jeremy Lin","PG","6-3",200,"August 23, 1988","us","6","Harvard University","BRK"
11,"Brook Lopez","C","7-0",275,"April 1, 1988","us","8","Stanford University","BRK"
1,"Chris McCullough","PF","6-11",200,"February 5, 1995","us","1","Syracuse University","BRK"
14,"K.J. McDaniels","SF","6-6",205,"February 9, 1993","us","2","Clemson University","BRK"
44,"Andrew Nicholson","PF","6-9",250,"December 8, 1989","ca","4","St. Bonaventure University","BRK"
4,"Luis Scola","PF","6-9",240,"April 30, 1980","ar","9","","BRK"
21,"Greivis Vasquez","PG","6-6",217,"January 16, 1987","ve","6","University of Maryland","BRK"
15,"Isaiah Whitehead","PG","6-4",213,"March 8, 1995","us","R","Seton Hall University","BRK"
